,Value,Type,Class,Description
9199,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9200,breastandovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9201,breastcancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9202,breast-ovariancancersyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9203,BRCA1abnormalities,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9204,verylongchainacyl-CoAdehydrogenasedeficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9205,Verylongchainacyl-CoAdehydrogenase(VLCAD)deficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9206,VLCADdeficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9207,Prader-Willisyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9208,Prader-Willisyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9209,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9210,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9211,FamilialPWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9212,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9213,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9214,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9215,nonketotichyperglycinemia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9216,nonketotichyperglycinemia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9217,NKH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9218,in-bornerrorofmetabolism,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9219,neurologicaldisturbance,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9220,NKH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9221,NKH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9222,NKH,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9223,Prader-Willisyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9224,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9225,neurogeneticdisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9226,infantilehypotonia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9227,gonadalhypoplasia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9228,hyperphagia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9229,obesity,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9230,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9231,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9232,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9233,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9234,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9235,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9236,deficientinSix5,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9237,cataracts,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9238,myotonicdystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9239,myotonicdystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9240,dominantlyinheriteddisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9241,muscledystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9242,myotonia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9243,cataracts,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9244,cardiacconductiondefects,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9245,myopathy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9246,cardiacconductionabnormalities,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9247,myotonicdystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9248,myotonia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9249,cataracts,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9250,SIX5deficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9251,myotonicdystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9252,abnormalitiesofskeletalmusclefunction,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9253,lenticularopacities,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9254,SIX5deficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9255,cataract,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9256,myotonicdystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9257,myotonicdystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9258,multigenicdisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9259,cataracts,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9260,Myotonicdystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9261,DM,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9262,autosomaldominantdisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9263,musclewasting,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9264,myotonia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9265,cardiacarrhythmia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9266,hyperinsulinaemia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9267,mentalretardation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9268,cataracts,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9269,geneticdefect,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9270,DM,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9271,DM,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9272,DM,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9273,cardiacconductiondisorders,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9274,DM,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9275,cataract,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9276,cataract,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9277,cataracts,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9278,DM,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9279,DM,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9280,DM,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9281,geneticdisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9282,ataxia-telangiectasia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9283,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9284,cerebellardysfunction,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9285,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9286,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9287,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9288,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9289,Nijmegenbreakagesyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9290,NBS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9291,NBS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9292,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9293,NBS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9294,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9295,NBS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9296,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9297,NBS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9298,BRCA-linkedandsporadicovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9299,hereditaryovariancancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9300,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9301,hereditaryovariancancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9302,sporadic(nonhereditary)ovariancancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9303,ovariancancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9304,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9305,Cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9306,ovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9307,Hereditarycancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9308,hereditarycancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9309,stageIIIcancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9310,BRCA-associatedhereditaryovariancancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9311,sporadiccancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9312,advanced-stagehereditarycancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9313,nonhereditarycancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9314,BRCA1-linkedthanforBRCA2-linkedcancers,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9315,familialMediterraneanfever,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9316,FamilialMediterraneanfever,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9317,FMF,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9318,recessivedisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9319,fever,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9320,neutrophil-mediatedserosalinflammation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9321,FMF,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9322,tumor,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9323,mucopolysaccharidosisIVA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9324,MucopolysaccharidosisIVA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9325,MPSIVA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9326,lysosomalstoragedisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9327,deficiencyofN-acetylgalactosamine-6-sulfatesulfatase,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9328,MPSIVA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9329,MPSIVA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9330,ataxia-telangiectasia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9331,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9332,ataxia-telangiectasia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9333,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9334,autosomalrecessivesyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9335,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9336,ischemicheartdisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9337,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9338,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9339,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9340,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9341,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9342,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9343,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9344,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9345,familialmediterraneanfever,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9346,FamilialMediterraneanfever,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9347,FMF,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9348,recessivedisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9349,fever,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9350,serositis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9351,synovitis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9352,FMF,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9353,FMF,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9354,Pelizaeus-Merzbacherdisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9355,Pelizaeus-Merzbacherdisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9356,PMD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9357,PMD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9358,PMD,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9359,geneticdisorders,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9360,breastand/orovariancancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9361,vonHippel-Lindau,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9362,VHL,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9363,VonHippel-Lindau(VHL)disease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9364,hereditarytumorsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9365,bilateralandmulti-centrichemangioblastoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9366,pheochromocytoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9367,renalcellcarcinoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9368,"cystsinthekidney,pancreas,andepididymis",Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9369,VHL,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9370,VHL,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9371,VHL,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9372,VHL,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9373,VHLdisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9374,pheochromocytoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9375,VHLdisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9376,VHL,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9377,centralnervoussystemhemangioblastoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9378,Friedreichataxia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9379,Friedreichataxia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9380,FRDA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9381,inheritedataxia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9382,FRDA,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9383,ataxia-telangiectasia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9384,Nijmegenbreakagesyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9385,Ataxia-telangiectasia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9386,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9387,Nijmegenbreakagesyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9388,NBS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9389,recessivegeneticdisorders,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9390,cancer,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9391,A-T,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9392,Nijmegenbreakagesyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9393,hypersensitivitytoionizingradiation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9394,geneticdiseases,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9395,microcephaly,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9396,mentalretardation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9397,shortstature,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9398,Cohensyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9399,microcephaly,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9400,postnatalgrowthdeficiency,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9401,mentalretardation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9402,Hypotonia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9403,chorioretinaldystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9404,myopia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9405,mentalretardation,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9406,shortstature,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9407,Cohensyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9408,Cohensyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9409,Cohensyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9410,ankylosingspondylitis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9411,Ankylosingspondylitis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9412,AS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9413,rheumaticdisorder,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9414,AS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9415,AS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9416,AS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9417,AS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9418,AS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9419,AS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9420,AS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9421,AS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9422,PDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9423,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9424,non-syndromichearingloss,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9425,DFNB4,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9426,PDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9427,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9428,autosomalrecessivenon-syndromichearingloss,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9429,DFNB4,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9430,non-syndromichearingloss,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9431,PDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9432,PDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9433,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9434,PDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9435,non-syndromichearingloss,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9436,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9437,PDS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9438,non-syndromichearingloss,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9439,Pendredsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9440,DFNB4,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9441,goiter,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9442,DFNB4,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9443,Mendeliandisease,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9444,multifactorialdiseases,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9445,hemophiliaB,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9446,autoimmunelymphoproliferativesyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9447,Wiskott-Aldrichsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9448,Wiskott-Aldrichsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9449,Wiskott-Aldrichsyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9450,WAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9451,WAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9452,WAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9453,WAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9454,WAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9455,WAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9456,WAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9457,WAS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9458,retinaldegeneration,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9459,photoreceptordystrophies,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9460,autosomaldominantretinitispigmentosa,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9461,maculardystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9462,retinaldegeneration,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9463,congenitalafibrinogenemia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9464,Congenitalafibrinogenemia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9465,"autosomal,recessivedisorder",Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9466,afibrinogenemia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9467,congenitalafibrinogenemia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9468,Myotonicdystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9469,myotonicdystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9470,DM,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9471,DM,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9472,Prader-willisyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9473,Prader-Willisyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9474,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9475,neonatalhypotonia,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9476,developmentaldelay,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9477,childhood-onsetobesity,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9478,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9479,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9480,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9481,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9482,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9483,abnormalitiesinbraindevelopment,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9484,dysmorphicfeatures,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9485,PWS,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9486,X-linkedretinoschisis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9487,X-linkedretinoschisis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9488,visualdeterioration,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9489,retinoblastoma,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9490,X-linkedretinoschisis,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9491,retinaldystrophy,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9492,benignfamilialinfantileconvulsionssyndrome,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
9493,BFIC,Disease,HealthCare Records,"an illness affecting humans, animals or plants, often caused by infection"
